Formatted ID,Name,State,Owner,Project,Flow State,Creation Date,Acceptance Criteria,Notes,Release,Percent Done By Story Plan Estimate,Percent Done By Story Count,UserStories
US7877660,"DSK, OSE, INV, PVR, INM, TNM, ALL: Regional Block BMT - ETL [Complete by 11/19 - Manual]",,Lisa Regalado,Team: Power Rangers,Accepted,11/12/2024,"If only state is populated in the BMT, then the block is for all pharmacy where PHY State = the state in the BMTIf only zip code is populated in the BMT, then the block is for all pharmacy where PHY Zip = the zip in the BMTIf state and zip code are populated, then the block is for any pharmacy that has PHY state AND PHY Zip matching the entries (must match the combination)ETL – no new cases or new audits should be created that match the criteria, including manual case creationIncremental jobs should continue for cases that are already in PARP Scenario 1: ETL - No data loaded for new cases or auditsGiven a BMT is created with a valid state or zip code for a specified audit typeAnd a pharmacy matching the state or zip code and audit type in the BMT is sent by ML or entered in the MCC BMTNo new case or audit is createdAnd no data should be loaded for new cases or new audits Scenario 2:Given a BMT is created with a valid state or zip code for a specified audit typeAnd a pharmacy matching the state or zip code and audit type in the BMT has an existing audit or case in PARPThen incremental jobs should continue for audits and cases already in PARP  ","Q42024 - Confirmed for Sprint 2210/22/24 CH: @Lisa Regalado FYI, please review the acceptance criteria. If changes are needed please let me know. @Dubey, Sudhanshu @Kunjan Panchal added this to current sprint (22) please advise if there are any issues/concerns. Thanks. @Lisa Regalado  @Kunjan Panchal  can you please update the story with the correct conditions to check. As per our discussion below will be only two condition to check 1. If only state is populated in the BMT, then the block is for all pharmacy where PHY State = the state in the BMT2. If only zip populated in the BMT, then the block is for all pharmacy where PHY zip = zip in the BMT 29 Oct LMR: @Kamal Sharma updated acceptance criteria to be more clear. Please let me know if there are additional questions.11/5/24 CH: @Sudhansu Dash regarding the data needed for testing, can you advise specifically what is needed please? Referring to the email chain asking for support in updating the BMTs. Are you needing us to identify the pharmacies that would be associated w/the zip code and or state blocks for testing? Or, are you wanting us to update the Regional Audit BMT w/the exclusions. The ask for PVR in the email is unclear. @Jennifer Salazar @Christine Nguyen @Kunjan Panchal, @Sulav Khadka FYI. ",,,,
US6337865,PVR: QC Error report - Ability to capture any QC error removed from the report (S.01),,Christine Nguyen,Team: Pega Prefects,Accepted,10/13/2023,"Acceptance Criteria:Add a  """"free text"""" Comment column after the status box on the QC Error View. This will be a required field when an error is removed 2/6 CN: PASS 2. The following columns will be included on the QC Error Report (on the far right after QCReviewerName) 1/17 CN - unable to test see notes section 2/6 CN: PASSError Removed Date - when the error was removedError(s) Removed - Which error(s) were removedRemoved by - Who removed the error (capture MSID)Comment - Required free text that were entered by the """"Removed by""""3. Change """"Auditor Pharmacy Paid Amount"""" to """"Auditor - ValidatedPaidAmount"""" on the QC Error Report 2/4 CN -PASS4. Change """"QC Reviewer - PharmacyAdjusted Amount"""" to """"QC Reviewer - QC PreliminaryValidatedPharmacyAmount"""" on the QC Error Report 1/17 CN - PASSScenario 1:Given the error was identified on the QC Error ReportWhen a PVR leader remove the error from the User's QC Error ViewThen the comment field is required to be complete and enter as free text. (Question: is there a character limit in this box?) Scenario 2: Given the error was removed from the QC Error ViewWhen the report is generatedThen 4 additional columns need to be include at the end of the report to capture the update:Error Removed Date - when the error was removedError(s) Removed - Which error(s) were removedRemoved by - Who removed the error (capture MSID)Comment - Required free text that were entered by the """"Removed by""""","Targeted for Sprint 25Acceptance Criteria:Add a  """"free text"""" Comment column after the status box on the QC Error View. This will be a required field when an error is removed 1/17 CN: I don't see the """"Update"""" button to click after selecting the error type to remove in UAT.  What is the blank box after Error Type for? Is it possible to make the width of some of the other columns (i.e. Source Environment ID, SourceEnvironmentName, all QTY and DS, and both Amount) smaller and expand  the Comments and Error Type columns?Can we add a new Acceptance Criteria: Need to remove Auditor ClientAdjustedAMount and QC Reviewer ClientAdjustedAmount columns from QC Error View and QC Review Export 1/25 CN: PASS2/6 CN; The info for Error removed date, Error(s) removed, Removed by and Comment are not populated on the extracted report after the error was removed. ",,,,
US6337871,PVR: QC Aging Report - Exclude Weekends & UHG Holidays,,Christine Nguyen,Team: Pega Prefects,Accepted,10/13/2023,Acceptance Criteria:QC Aging time will exclude UHG Holiday Date on the Federal Holidays BMTQC Aging time will exclude all weekends (Saturday and Sunday)1/17/24 aguill3:  QC age column will have unit of time in parentheses.  For example QC Age (hours).Scenario 1: Given the system calculate the QC Aging timeWhen the QC Aging time calculate from the time the case moves to Ready for QC until it moves to Results Pharm ContactThen the system will exclude the UHG Holidays on the Federal Holidays BMT Scenario 2: Given the system calculate the QC Aging timeWhen the QC Aging time calculate from the time the case moves to Ready for QC until it moves to Results Pharm ContactThen the system will exclude all weekends – Saturday and Sunday  Scenario 3:Given the QC Aging ReportWhen the report is accessed/displayedThen the QC Age column will display QC Age (hours) ,"Targeted for Sprint 26 1/17/2024 aguill3:   @Uriti Ravindrababu updated US to update the column called """"QC Age"""" to """"QC Age (hours)""""",,,,
US7169591,"DSK, OSE, PVR: Change to State Restriction Discrepancy Code BMT (Refer to US6758380)",,Jennifer Salazar,Team: Pega Prefects,Accepted,5/22/2024,"ScenariosFor each claim in a case, we need to check for 7 criteria pharmacy state, carrier, discrepancy code, audit type pharmacy state, discrepancy code, audit type carrier, discrepancy code, audit type pharmacy state, carrier, discrepancy code, audit type, NCPDP ID pharmacy state, discrepancy code, audit type, NCPDP ID carrier, discrepancy code, audit type, NCPDP ID discrepancy code, audit type, NCPDP IDIf any of the above criteria is met, then check if Ignore for Medicare Part D is Yes or No. If contract ID is not blank, “-“, or null, the claim is a Medicare Part D claim. If it is YES and the claim has a contract ID that is not blank, “-“, null, exit the criteria. The logic ends here and the message will not display to the user.   If it is NO or the contract ID check fails (where contract ID is blank,""""-"""", or null), then continue to the Only for Unbreakable Package field.  Check if Only for unbreakable Package is Yes or No. If DRG_UNIT_DOSE_USE_IND = U, then the product is considered unbreakable.   If it is YES, the claim’s submitted drug product has DRG_UNIT_DOSE_USE_IND = U, check for Allow Education and if it is set to Yes or No.If it is NO and the drug product is NOT DRG_UNIT_DOSE_USE_IND = U, exit the criteria. The logic ends here and the message will not display to the user.  Check if Allow Educational is Yes or No. If it is YES, then the overpayment amount will default to 0 and restrict user to update the overpayment (e.g., overpayment field is not editable) amount, unless there is another discrepancy code that is not coded to restrict overpayment to zero.  Message will display to the user.If it is NO, then the overpayment amount will not be defaulted to 0 and the user can update the overpayment value (e.g., field is editable). However, the user will need to update or remove the discrepancy since the finding cannot be issued. Message will display to the user.","5/30/24 JS: @Uriti Ravindrababu I am noticing some issues with the Ignore Medicare Part D criteria. When Ignore Medicare Part D is yes and the Carrier is Part D, the it should exit the logic but it is not. I am seeing the message displayed even though the restriction does not apply to Part D carriers. please see attached for a few examples (PVR-0424-1301). @Allison Wade  and @Michele Misiak for awareness. 5/31/24 Ravi: @Jennifer Salazar fixed and moved to UAT please validate5/31/24 JS: @Uriti Ravindrababu I did more testing almost everything passed. Please see test cases 23 and 24 which di not pass and I'm not sure why. @Allison Wade and @Michele Misiak for awareness5/31/24 Ravi: @Jennifer Salazar for 24, 25 records NCPDP is not correct  for PVR-0224-1154 NCPD is 0202262 but in BMT it is updated as 2802684 could you please update and retest 5/31/24 JS: @Uriti Ravindrababu when I tested 24 and 25 I had the correct NCPDP in the BMT. I went back and did the testing for rows 18-21 after I did rows 24 and 25. However, I retested and it passed this time. I mave marked UAT as complete for PVR",,,,
US6681063,PVR: Enhancement to Chain PVR Counts Report,,Jennifer Salazar,Team: Pega Prefects,Accepted,1/24/2024,"System to produce a report of the number of claims initiated per day by Affiliation Code for NCPDPs with affiliation codes that match [Affiliation Code] values in the chain audit limits BMT QuestionFor each claim the affiliation code needs to be mapped to the Affiliation Code PassThe Affiliation code needs to be mapped to the Group NameThe report will have a drop down with the Months of the year, user can select the month they want to view PassThe report will display the Group Name PassThe report will display the month and year that was selected in the filter PassUser can export the report of current tallies into an Excel file Pass Scenario 1: ReportGiven PVRs have been initiated for NCPDPs with affiliation codes that match [Affiliation Code] values in the chain audit limits BMTWhen the user executes the reporting functionThen the system will produce a report showing the number of claims initiated per day by Affiliation Code for NCPDPs with affiliation codes that match [Affiliation Code] values in the chain audit limits BMT Scenario 2: FilterGiven a user selects a month and year in the filterWhen the user hits submitThen the number of claims initiated for the affiliation code will be displayed Scenario #3: Display month and year currently selectedGiven a user selects a month and year in the filterWhen the user hits submitThen the month and year currently selected will be displayed on the report next to each Group Name (see mock up) See mock-up in notes","5/16/2024 JS: @Naga Senthil it is hard for me to validate that the numbers listed represent claims and not cases because when you click on the number (either the monthly claim count field or an individual date) it displays the list of cases and not claims. What if there was a case with more than 1 claim, would the PVR ID be listed more than once to represent each claim in that case? Is it possible to list the claims instead of the PVR IDs?  Q22024 - Targeted for Sprint 10Desired in Q22024 Mock-up:Filtered By: Audit Month and Audit Year                                                                     Group NameMonthYearMonthly Claim Count12345678910111213141516171819202122232425262728293031OMNICAREJan202421001110                           CAREMARK LLCJan2024150078                           CORAM LLCJan2024180099                           CVS HEALTHJan202427700135142                           ",,,,
US5084553,INM: Incorrect Interest [Points increased from 3 to 5] (S.23),,Andrea Astrella-Chisamore,Team: Pega Prefects,Accepted,10/27/2022,"Interest will update every time a case is opened andWill update until the audit moves to Ready for Recovery Interest should be an editable field in the UI during Ready for Recovery to account for miscalculations or client adjustments to interest recoupments (updated per discussion with Niharika)Interest Amount will be added as a field visible in Final- Review in Progress, Final-Ready for QC, Final- Failed QC, Final-Appeal No Repayment, Final-Appeal Ready for QC, Final- Appeal Failed QC, Ready for Recovery (updated per discussion with Niharika)Once the auditor has updated the interest amount the Interest should not be calculated until Recovery for the updated claim (per discussion with Niharika)The updated claim has to be highlighted in the next review screens     ","Target for Sprint 2210/19 kp Currently, interest is being calculated 1. prelim review, 2. prelim QC review, 3. appeals review and 4. appeals QC review. Ideally the interest sent in letters should match with UI. Two items as part of this defect:1. Currently, mismatch between letter and UI. (Srikanth will look into this)2. Per Dan, interest should be calculated based on the current date when audit is opened. (Need to confirm this with Dan).  10/26: For Demand and Waiver letter interest is not saved anywhere. Dan will update the defect where the interest will stop.Interest should stop on the day the audit moves into """"Ready for Recovery""""SubmittedBy: Daniel Dorsic_DefectReportedBy: Customer ReportedReleaseNote: falseAffectsDoc: falseState: OpenEnvironment: ProductionSeverity: 2-Major Problem 10/30: CH, updated title, there is no impact for TNM. Removed from title.1/11: Andrea has confirmed the below points Interest should be editable in the Final, Appeal and Demand Review Screens not in the Prelim ScreenOnce the auditor has updated the interest amount the Interest should not be calculated.  Business UAT - Support Needed from ITWorkflowCase / Audit TypeTotal CountNotesINMNew Case4 to 5@Tirumalasetty Niharika need assistance with IT adjusting the dates to allow Andrea to check the interest is correctly calculating over time11/7 @Andrea Astrella hello- can you please add additional acceptance criteria points so this can be closed in Sprint 23. Thanks! 12/20/23: @Tirumalasetty Niharika for INM-7431, the interest amount of the second and third claims in the audit are not calculating correctly. Per the interest calculator Dan shared with you, the interest amounts should be $168.16 and $322.91 as of today, but are showing as $84.88 and $148.90.12/21/23: We found an error within the interest calculator, so the interest amounts in PARP currently are likely correct.12/22/23: @Tirumalasetty Niharika For INM-7434, the interest amount showing in the UI after a waiver was received is still the amount that was listed on the Final Findings letter on 12/6/23. Demand letter was sent on 12/19 and audit moved to Ready for Recovery on 12/22. Correct interest amounts should be $138.06, 56.84, and 24.99.12/22/23 @Tirumalasetty Niharika  for the note above is coding written for interest to be held from updating for 60 days after final determination is sent? Wondering since this test scenario issued a demand letter earlier than it would in production if this error is a result of that or something else. 12/29/23: @Tirumalasetty Niharika I checked the interest on INM-7435 today and all interest is showing as 0, even though no manual change was made to the interest.1/4/24: @Tirumalasetty Niharika I checked the interest on INM-7443 today and it has not increased beyond what was on the Demand letter sent on 1/2/24. Is coding written for interest to be held from updating for 60 days after final determination is sent? Wondering since this test scenario issued a demand letter earlier than it would in production if this error is a result of that or something else.  ",,,,
US6338571,Add Pharmacy Name to DNA BMT and Read Only Access (S.23),,Daniel Dorsi,Team: Pega Prefects,Accepted,10/13/2023,"Add column for """"Pharmacy Name""""Populate """"Pharmacy Name"""" column from IDW field V_D_PHARMACY.PHR_NM that is associated with the NCPDP entered into the table.If NCPDP field is blank then Pharmacy Name will also be blankIf NCPDP field is not blank the pharmacy name must be populated. If the NCPDP does not exist then Pharmacy Name field should populate with """"Pharm Name Not Found""""Job to populate pharmacy name will run daily during the BMT lock window. (Users will see the pharmacy name the day after entering the record that contains an NCPDP)If the pharmacy name is changed in the source system PARP should update to show the current name """"Pharmacy Name"""" field should not be editableCreate a read-only view/access during times when the BMT is locked9.  12/20/23 AGUILLE: Add message at top of DNA BMT to read:   DNA BMT is locked from 12AM to 12PM ET. During this time, no edits can be made.  An error such as THIS INSTANCE EXISTS ALREADY may appear when users try to edit.     ","Targeted for Sprint 23Lisa approved on 10/13/23 to be included in sprint 22 @Daniel Dorsi, We don't have access to IDW  V_D_PHARMACY table(2nd Point in Acceptance Criteria). Can we use Pharmacy Details table(A_PHRMCY_DTL)  to fetch pharmacy Name basing on NCPDP? 11/13 - @Syamala Tunuguntla  Yes I believe that should work fine. 11/13 @Syamala Tunuguntla populated with additional details as requested during our call today.12/5 aguill3:  @Syamala Tunuguntla was this deployed to PVR in UAT? 12/5 Syamala: @Ashlee Guillermo Yes its deployed.12/6 JS: @Syamala Tunuguntla for PVR I am seeing a lot of blanks under Pharmacy Name even when there is an NCPDP present12/6 Syamala @Jennifer Salazar I see Job failed for PVR and I fixed it. You should be able to see pharmacy name tomorrow after job run successfully. 12/7 Syamala: PVR job ran successfully. Please check the screen shot below.12/7 JS: @Syamala Tunuguntla I am still seeing blank fields under Pharmacy Name even when there is an NCPDP 12/20/23 AGUILL3:  Added #9 in acceptance criteria after confirmation with PARP-A Team.",,,,
US6621989,PVR: Enhancement to Claim QC Review Pass/Fail Drop Down,,Jennifer Salazar,Team: Pega Prefects,Accepted,1/9/2024,"Acceptance Criteria:Claim QC Review Pass/Fail drop down should systematically default to """"Pass"""" 5/1 CN: PASSWhen the system systematically defaults to """"Pass"""" the user does not need to click the drop down field or make any selection from the drop down in order to """"Submit"""" the QC Review 5/1 CN: PASSUser has the option to change the selection to """"Fail""""  5/1 CN: PASSIf user selects """"Fail"""", a comment will be required and the comment will be visible somewhere in the UI (e.g. audit trail, internal note, or in a report-report is least preferable) 5/1 CN: comment is visible in Claim QC Comments field in the UIIf the QC reviewer makes changes to any of the editable fields in the Claims Drilldown/Discrepancy section or the Claim Pricing Info section then the system will default the drop down to """"fail"""" and the user will be required to enter a comment before they can """"Submit"""" the QC Review 5/1 CN: PASSFrom QC Review screen the user can check a single box or multiple boxes and """"Submit"""" without having to expand the claim and select """"Pass"""" or """"Fail"""" from the drop down. Batch Claims Findings - When there is any changes made in any of the editable fields, the system will default the drop down to """"fail"""" and the user will be required to enter a comment before they can """"Submit"""" the QC review. (similar to #5) 5/1 CN: Pass     Scenario 1: Drop Down defaults to PassGiven a PVR case When the case is in QC ReviewThen the QC Review Pass/Fail drop down for each claim within the case will default to """"Pass"""" Scenario 2: When defaulted to Pass the User can SubmitGiven a PVR claim is systematically defaulted to """"Pass"""" in the QC Review drop downWhen the QC Reviewer hits """"Submit""""The system will allow the case to move on to the next step and will not require the user to make a selection in the drop down Scenario 3: User has option to change the drop down selectionGiven a PVR claim QC Review drop down is systematically defaulted to """"Pass""""When a QC Reviewer wants to change the selection to """"Fail""""Then the QC Reviewer will be allowed to make the change Scenario 4: If """"Fail"""" is selected a comment is required and the comment is visible in UIGiven a QC Reviewer updates the QC Review drop down selection to """"Fail""""When """"Fail"""" is chosenThen a comment is required before the QC Reviewer can """"Submit"""" Scenario 5: """"Fail"""" comment will be visible in the UIGiven a """"Fail"""" comment is entered by the QC ReviewerWhen the claim is """"Saved"""" or """"Submitted""""Then the comment will be visible to users in the UI (e.g. in the audit trail, as an internal note) (least preferable would be for the user to have to access a report to see the  comment) Scenario 6: System will default to """"Fail"""" if the QC Reviewer makes a change to an editable field during QC ReviewGiven a user is performing QC ReviewWhen the reviewer makes changes to any of the editable fields in the Claims Drilldown/Discrepancy section or the Claim Pricing Info sectionThen the system will default the drop down to """"fail"""" and the user will be required to enter a comment before they can """"Submit"""" the QC Review Scenario 7: Submitting from QC Review screen without expanding the claim informationGiven a case in QC ReviewWhen a QC Reviewer selects a single box (claim) or multiple boxes (claims) within the caseThen the QC Reviewer can """"Submit"""" without having to expand the claim and select """"Pass"""" or """"Fail"""" from the drop down Scenario 8:Batch Claims FindingsGiven the QC reviewer make any changes in any of the edible fields Then the reviewer makes changes to any of the editable fields in the Claims Drilldown/Discrepancy section or the Claim Pricing Info sectionThen the system will default the drop down to """"fail"""" and the user will be required to enter a comment before they can """"Submit"""" the QC Review  ","  Q22024 - Targeted for Sprint 91/9/24 JS: Would like to target Q12024 if possible. 1/9/24 DS changed feature (PVR: QC was from 2023)02/22/24 CH: could potentially move to Q2 p/PVR leadership if we need the room in Q1.03/14/24 CH: updated to Q2, did not make the cut for sprint 6 which was the last sprint in Q1. updated to sprint 74/24/24 JS: @Naga Senthil  and @Uriti Ravindrababu  As discussed on the Sprint call this morning, if a QC reviewer makes a change to an editable field and the drop down defaults to Fail, if the QC Reviewer manually changes to Pass and then makes subsequent changes to the editable field(s), the drop down will remain as Pass and will not continue to default to Fail with the subsequent changes 5/1 CN: PASS4/24/24 JS: @Naga Senthil and @Uriti Ravindrababu  As discussed on the call this morning, if a QC reviewer makes a change to an editable field and the drop down defaults to Fail, if the QC reviewer changes the editable field to the original data, then the drop down will revert back to Pass since the after values match the before values 5/1 CN: PASS4/24/24 JS: @Naga Senthil and @Uriti Ravindrababu As discussed on the call this morning, changes or additions to the Internal Comments box will not result in the drop down defaulting to Fail 5/1 CN: PASS4/24/24 JS: @Naga Senthil The QC Comment does not need to be captured in Case notes or in the Audit trail but can remain in the QC comments note field 5/1 CN: PASS4/26/24 JS: @Naga Senthil as discussed on the call this morning, it will not be necessary to have the Batch Claim Findings drop-down default to Pass                 5/1/24 CN: Test case: PVR-0124-175 I changed the discrepancy code on 3 claims and the drop down remained as """"Pass"""". Shouldn't it change to """"Fail"""" and require a Claim QC Comments? Or do I need to select """"pass"""" or                       """"Fail"""" at Batch Claim Findings? --05/02/24 NS: One rule was missed to move to UAT and now it is moved. Please recheck and let me know, if you still face issues.              5/2/24 CN: @Naga Senthil Still remained as PASS even after I updated Discrepancy Code 2.               5/3/24 NS: @Christine Nguyen , As per requirement, we are updating QC Review when we update editable fields in Claim Drilldown and Pricing Info section by expanding each claim and QC Review will not get updated when we change the fields in Batch claim finding. Please let me know, do we need to update the QC Review, when we update the fields in Batch claim finding also. 5/3/2024 CN: @Naga Senthil I've added acceptance criteria #7 for Bach Claim Findings.  ",,,,
US6700620,PVR: Add new column to Daily Claim Load BMT,,Ashlee Guillermo,Team: Pega Prefects,Accepted,1/30/2024," The Daily Claim Load BMT will nave a new field to the right of the UHCMR Duplicate Billing Volume (%) column called NCPDP Frequency of ML Selection (Bus Days)The field will accept numeric values, including zero.The field will be required.    Given the Daily Claim Load BMT - 3/14 aguill3: Fail3/15 aguill3: PassWhen the BMT is accessedThen a new field will be present and will be located   to the right of the UHCMR Duplicate Billing Volume (%) column.  The new field will be called NCPDP Frequency of ML Selection (Bus Days) Given the new field called NCPDP Frequency of ML Selection (Bus Days) 3/14 aguill3: PassWhen a value is entered into the new fieldThen the value should only be numeric values, including zero. Given the new field called NCPDP Frequency of ML Selection (Bus Days) - 3/14 aguill3: PassWhen a value is entered into the new fieldThen the value is deemed a required field Given the Daily Claim Load BMT - 3/14 aguill3: Fail; 3/15 aguill3: PassWhen the BMT is accessedThen at the top of the BMT under the BMT label name, instructions will read:  To specify the total number of claims selected daily by ML. Enter a number into the UHCMR Duplicate Billing Volume without the percent sign. Enter zero in the NCPDP Frequency of ML Selection field if there is no restriction intended.  ","Q12024 - Confirmed for Sprint 6 (must go - dependent on ML US)03/06 kp Ranked #9 in pega prefects backlog (dependency on ML US). 3/14/24 aguill3:  @Tirumalasetty Niharika, please update column name to  NCPDP Frequency of ML Selection (Bus Days). Also, please edit message at top of screen to:  To specify the total number of claims selected daily by ML. Enter a number into the UHCMR Duplicate Billing Volume without the percent sign.. Enter zero in the NCPDP Frequency of ML Selection field if there is no restriction intended. 03/15/24 Per Niharika, above changes have been moved to UAT. @Ashlee Guillermo  3/15 aguill3:  @Tirumalasetty Niharika , I have completed UAT.  I have not accepted the user story because some tasks are still in progress.",,,,
US6709840,PVR: Date and Time Capture for All Attachments,,Ashlee Guillermo,Team: Pega Prefects,Accepted,1/31/2024,TBD - criteria above in notes,"Q32024 - Targeted for Sprint 13Acceptance Criteria;All attachment files attached to a case in PARP need to have time and date the file was attached  Scenario 1Given a file is attached in PARP under Pending ArchiveWhen the system capture the date and time of the attachmentThen the date and time will appear under the file  6/25/2024 aguill3 - per 6/24 conversation, Senthil was able to retain the date/time stamp when the file gets moved to Archive Successful   @Naga Senthil , how do we validate the date/time stamp when moved to archive successful without having to wait the specific number of days?6/26/2024 Naga Senthil - @Ashlee Guillermo Ideally when we upload the document to Doc 360, we capture the Date/Time for Archive Successful and it is happening by Job everyday at 12AM. For our testing purpose, either we can run job manually or can reduce the Frequency of Job running time like every ten minutes and once testing is done, we can revert it. If any failure happens while uploading document to Doc 360, it will not be coming in Archive Successful.",,,,
US6517952,PVR:  Exclude Cases with QC Edit from Subsequent FAFR Report (S.14),,Ashlee Guillermo,Team: Pega Prefects,Accepted,12/5/2023,Given a case  was previously in FAFR submitted statusWhen the case undergoes QC editThen the case will not  be included in the upcoming FAFR report (when the automation runs) since the case was included in a previous FAFR already. 7/17 CN: Pass  Example:  Case PVR-1223-1379 underwent FAFR-Submitted twice.  It was included in two weekly automated FAFR reports.  We need for the case to be excluded in the 2nd FAFR report.   ,Q32024 - Targeted for Sprint 14Complete as soon as possible 01/04 kp Christine to check next week's report and mismatch to share an example. 1/8/24 aguill3:  updated user story and title of user story for clarity and added example.  1/10/24 CN: 2pts per Ravi,,,,
US6732921,CMS: Ability to move audits to Response Received status,,Allison Wade,Team: Pega Prefects,Accepted,2/6/2024,Only available to users with Manager accessAction menu will have a drop down to move audits to Response Received status when in any of the following statusesFirst Request-Pharm ContactFirst Request-Corr FailedSecond Request-Pharm ContactSecond Request-Corr FailedThird Request-Pharm ContactThird Request-Corr FailedInitial CAP-Pharm ContactInitial CAP-Corr FailedFinal CAP-Pharm ContactFinal CAP-Corr Failed,"Q32024 - Targeted for Sprint 14 07/08/24: @Allison Wade could you please help me with below points:                 1) Do we want to show this option when status = """"First Request-Corr Failed""""  because we will not contact pharmacy at least once to get the response                       during this status. And also same for """"Initial CAP-Pharm Contact"""" and Initial """"CAP-Corr Failed"""". AW: Yes its needed for both statuses.                  2) Should we display any comment box / confirmation note on UI when user clicks on """"Go To Response Received"""" from actions menu ? AW: Yes. The comment box should be mandatory and the comment should be visible in the audit history.                 3) when status contains CAP then we need to move to """"CAP Response Received """" state, right ? AW: correct 07/10/24: @Allison Wade Code is now available in UAT. Please test it and let me know if you any queries.",,,,
US6789683,Update batch options for Preliminary Reconsideration view to include internal comments,,Allison Wade,Team: Pega Prefects,Accepted,2/20/2024,"For INM, TNM, DSKUpdate batch claim findings for audits in Prelim-Recon in Progress to include an Internal Comments boxFor INMUpdate batch claim findings for audits in Final-Appeal Repayment Received and Final- Appeal No Repayment to include Directions box and Internal Comments boxFor TNMUpdate batch claim findings for audits in Final-Appeal Review in Progress to include Directions box and Internal Comments box","Q32024 - Confirmed for Sprint 1402/20/24 CH: enhancement idea added in Rally for tracking from BED tracker. @Allison Wade assigned you as the owner, we can update if needed.06/26/24 CH: @Allison Wade @Andrea Astrella @Daniel Dorsi please confirm, is this needed in sprint 14? Thanks.6/27/24 AW: @Christin Horton yes its needed for sprint 14 @Allison Wade got it, thank you!7/3/24 AA: @Satyvir Kumar updated status names for TNM ",,,,
